,Title,
0,Digital Twin-Based Cyber Range for Industrial Internet of Things,\cite{Zhou_2023}
1,Continuous Systems and Software Engineering for Industry 4.0: A disruptive view,\cite{Nakagawa_2021}
2,Tailoring MLOps Techniques for Industry 5.0 Needs,\cite{Hegedus_2023}
3,Industrial requirements for supporting AI-enhanced model-driven engineering,\cite{Bergelin_Industrial_2022}
4,Testing robot controllers using constraint programming and continuous integration,\cite{Mossige_2015}
5,The adaptation of test-driven software processes to industrial automation engineering,
6,Realization of a model-based DevOps process for industrial safety critical cyber physical systems,
7,Skyfire: Model-Based Testing with Cucumber,
8,Consistency management in industrial continuous model-based development settings: a reality check,
9,Impediments to Introducing Continuous Integration for Model-Based Development in Industry,
10,Fundamental requirements of a machine learning operations platform for industrial metal additive man,
11,Scaling agile mechatronics: An industrial case study,
12,"Hardware in the loop simulation for product driven control of a cyber-physical manufacturing system,",
13,Continuous architecting of stream-based systems,
14,Using DevOps toolchains in Agile model-driven engineering,
15,Adaptive Reward Computation in Reinforcement Learning-Based Continuous Integration Testing,
16,"Pattern-based Modelling, Integration, and Deployment of Microservice Architectures",
17,A model-driven approach to continuous practices for modern cloud-based web applications,
18,Towards Digital Twin-enabled DevOps for CPS providing Architecture-Based Service Adaptation & Verifi,
19,Reinforcement learning for automatic test case prioritization and selection in continuous integratio,
20,Verifying big data topologies by-design: a semi-automated approach,
21,Active continuous quality control,
22,Towards Modeling Framework for DevOps: Requirements Derived from Industry Use Case,
23,Test Case Prioritization using Transfer Learning in Continuous Integration Environments,
24,Towards Modelling Acceptance Tests as a Support for Software Measurement,
