,Title,
0,Autonomic pervasive applications driven by abstract specifications,\cite{Gunalp_2012}
1,Automating performance bottleneck detection using search-based application profiling,\cite{Shen_2015}
2,Modeling and automated execution of application deployment tests,\cite{Wurster_2018}
3,Model-based fleet deployment of edge computing applications,\cite{Song_2020}
4,"Model-driven ml-ops for intelligent enterprise applications: vision, approaches and challenges",\cite{van_den_Heuvel_2020}
5,Model-based product line evolution: An incremental growing by extension,
6,Model-based fleet deployment in the IoT–edge–cloud continuum,
7,A process-oriented build tool for safety-critical model-based software development,
8,Refactoring architecture models for compliance with custom requirements,
9,Auto-generation of domain-specific systems: Cloud-hosted devops for business,
10,Cognifying Model-Driven Software Engineering,
11,Software Engineering for Machine Learning: A Case Study,
12,Streamlining DevOps automation for Cloud applications using TOSCA as standardized metamodel,
13,SMADA-Fog: Semantic model driven approach to deployment and adaptivity in fog computing,
14,"Enact: Development, operation, and quality assurance of trustworthy smart iot systems",
15,Self-healing multi-cloud application modelling,
16,Adaptive application development and integration process for modern automotive software,
17,Tailoring MLOps Techniques for Industry 5.0 Needs,
18,A model-driven approach to continuous practices for modern cloud-based web applications,
19,Realization of a model-based DevOps process for industrial safety critical cyber physical systems,
20,Process implications of executable domain models for microservices development,
21,Using Metamodels to Improve Model-Based Testing of Service Orchestrations,
22,Automated Regression Tests: A No-Code Approach for BPMN-based Process-Driven Applications,
23,Continuous Systems and Software Engineering for Industry 4.0: A disruptive view,
24,Reinforcement learning for automatic test case prioritization and selection in continuous integratio,
