,Title,
0,Use of Digital Twins and Digital Threads for Subway Infrastructure Monitoring,\cite{Vodyaho_2022}
1,DevOps for IoT Systems: Fast and Continuous Monitoring Feedback of System Availability,\cite{Lopez_Pena_2020}
2,Infrastructure as runtime models: Towards Model-Driven resource management,\cite{Krikava_2015}
3,Constraint-based behavioral consistency of evolving software systems,\cite{Hahnle_2018}
4,Continuous learning of HPC infrastructure models using big data analytics and in-memory processing t,\cite{Beneventi_2017}
5,ACCORDANT: A domain specific-model and DevOps approach for big data analytics architectures,
6,DevOps and Safety? SafeOps! Towards Ensuring Safety in Feature-Driven Development with Frequent Rele,
7,SliceOps: Explainable MLOps for Streamlined Automation-Native 6G Networks,
8,Measuring performance quality scenarios in big data analytics applications: A DevOps and domain-spec,
9,A Model-Driven Architectural Design Method for Big Data Analytics Applications,
10,SMADA-Fog: Semantic model driven approach to deployment and adaptivity in fog computing,
11,Model-Based DevOps: Foundations and Challenges,
12,Towards scalable model views on heterogeneous model resources,
13,Towards a Model-Based DevOps for Cyber-Physical Systems,
14,Towards an assessment grid for intelligent modeling assistance,
15,A microservice-based framework for multi-level testing of cyber-physical systems,
16,Fundamental requirements of a machine learning operations platform for industrial metal additive man,
17,"Model-driven ml-ops for intelligent enterprise applications: vision, approaches and challenges",
18,An Extension of the QUAMOCO Quality Model to Specify and Evaluate Feature-Dependent Non-Functional R,
19,RLOps: Development Life-Cycle of Reinforcement Learning Aided Open RAN,
20,Industrial requirements for supporting AI-enhanced model-driven engineering,
21,Architectural runtime models for integrating runtime observations and component-based models,
22,Adaptive Reward Computation in Reinforcement Learning-Based Continuous Integration Testing,
23,Realization of a model-based DevOps process for industrial safety critical cyber physical systems,
24,Towards Integrating Data-Driven Requirements Engineering into the Software Development Process: A Vi,
