,Title,
0,A model-driven workflow for distributed microservice development,\cite{Rademacher_MDE_2019}
1,The Digital Twin as a Common Knowledge Base in DevOps to Support Continuous System Evolution,\cite{Mertens_2021}
2,Consistency management in industrial continuous model-based development settings: a reality check,\cite{Jongeling_2022}
3,Impediments to Introducing Continuous Integration for Model-Based Development in Industry,\cite{Jongeling_2019}
4,Process implications of executable domain models for microservices development,\cite{Wang_2020}
5,Consistency reflection for automatic update of testing environment,
6,RLOps: Development Life-Cycle of Reinforcement Learning Aided Open RAN,
7,LUV is not the answer: Continuous delivery of a model driven development platform,
8,Adaptive application development and integration process for modern automotive software,
9,A process-oriented build tool for safety-critical model-based software development,
10,"Modeling, validation, and continuous integration of software behaviours for embedded systems",
11,Scenarios in the loop: Integrated requirements analysis and automotive system validation,
12,Skyfire: Model-Based Testing with Cucumber,
13,DevOps and Safety? SafeOps! Towards Ensuring Safety in Feature-Driven Development with Frequent Rele,
14,Arttest - A New Test Environment for Model-Based Software Development,
15,A model-driven engineering framework to support the functional safety process,
16,Towards Specification Completion for Systems with Emergent Behavior based on DevOps,
17,Architectural runtime models for integrating runtime observations and component-based models,
18,Graphical and textual model-driven microservice development,
19,Towards transparent combination of model management execution strategies for low-code development pl,
20,Autonomic pervasive applications driven by abstract specifications,
21,Using DevOps toolchains in Agile model-driven engineering,
22,Scaling agile mechatronics: An industrial case study,
23,A Model-Driven Approach to Continuous Delivery of Cloud Resources,
24,ResyDuo: Combining Data Models and CF-Based Recommender Systems to Develop Arduino Projects,
