,Title,
0,LUV is not the answer: Continuous delivery of a model driven development platform,\cite{Lourenco_2020}
1,Cognifying Model-Driven Software Engineering,\cite{Cabot_2018}
2,Personalized and automatic model repairing using reinforcement learning,\cite{Barriga_2019}
3,Learning by sampling: learning behavioral family models from software product lines,\cite{Damasceno_2021}
4,Towards scalable model views on heterogeneous model resources,\cite{Bruneliere_2018}
5,Towards transparent combination of model management execution strategies for low-code development pl,
6,A model-driven workflow for distributed microservice development,
7,"Model-driven ml-ops for intelligent enterprise applications: vision, approaches and challenges",
8,Model maturity-based model service composition in cloud environments,
9,Towards Continuous Modelling to Enable DevOps: A Preliminary Study with Practitioners,
10,Dynamic data management for continuous retraining,
11,A model-driven approach for continuous performance engineering in microservice-based systems,
12,Using Metamodels to Improve Model-Based Testing of Service Orchestrations,
13,Improving model repair through experience sharing,
14,"Model-based Continuous Deployment of SIS,,",
15,Simulation deployment blockset for MATLAB/Simulink,
16,SMADA-Fog: Semantic model driven approach to deployment and adaptivity in fog computing,
17,"Modeling, validation, and continuous integration of software behaviours for embedded systems",
18,Model-Driven continuous deployment for quality devops,
19,"Adaptive Learning for Learn-Based Regression Testing,Regression testing is an important activity to ",
20,Stepwise adoption of continuous delivery in model-driven engineering,
21,Model-Based DevOps: Foundations and Challenges,
22,Impediments to Introducing Continuous Integration for Model-Based Development in Industry,
23,Artshop: A continuous integration and quality assessment framework for model-based software artifact,
24,Towards Continuous Consistency Checking of DevOps Artefacts,
