,Title,
0,Models@runtime for continuous design and deployment,\cite{Ferry_2016}
1,openCAESAR: Balancing Agility and Rigor in Model-Based Systems Engineering,\cite{Elaasar_2023}
2,Continuous deployment of trustworthy smart IoT systems,\cite{Ferry_2020}
3,The systems engineering DevOps lemniscate and model-based system operations,\cite{Mathieson_2021}
4,"Enact: Development, operation, and quality assurance of trustworthy smart iot systems",\cite{Ferry_ENACT_2019}
5,A Modular and Composable Approach to Develop Trusted Artificial Intelligence,
6,Towards model-based continuous deployment of secure IoT systems,
7,Constraint-based behavioral consistency of evolving software systems,
8,Towards Specification Completion for Systems with Emergent Behavior based on DevOps,
9,Continuous Systems and Software Engineering for Industry 4.0: A disruptive view,
10,Agile Generator-Based GUI Modeling for Information Systems,
11,The adaptation of test-driven software processes to industrial automation engineering,
12,A Framework for Continuous Regression and Integration Testing in IoT Systems Based on Deep Learning ,
13,Towards a Model-Based DevOps for Cyber-Physical Systems,
14,ResyDuo: Combining Data Models and CF-Based Recommender Systems to Develop Arduino Projects,
15,Automotive Architecture Framework: The experience of Volvo Cars,
16,DevOps for IoT Systems: Fast and Continuous Monitoring Feedback of System Availability,
17,A learning-based framework for engineering feature-oriented self-adaptive software systems,
18,A model-driven approach for continuous performance engineering in microservice-based systems,
19,MDE for Machine Learning-Enabled Software Systems: A Case Study and Comparison of MontiAnna and ML-Q,
20,Modeling deep reinforcement learning based architectures for cyber-physical systems,
21,Continuous Integration in Multi-view Modeling: A Model Transformation Pipeline Architecture for Prod,
22,"Modeling, validation, and continuous integration of software behaviours for embedded systems",
23,Testing self-healing cyber-physical systems under uncertainty: a fragility-oriented approach,
24,A microservice-based framework for multi-level testing of cyber-physical systems,
