,Title,
0,Architecture violations detection and visualization in the continuous integration pipeline,\cite{Mendoza_2021}
1,Continuous and Proactive Software Architecture Evaluation: An IoT Case,\cite{Sobhy_2022}
2,Automotive Architecture Framework: The experience of Volvo Cars,\cite{Pelliccione_2017}
3,Refactoring architecture models for compliance with custom requirements,\cite{Holmes_2018}
4,Agent-based business process orchestration for IoT,\cite{Kampik_2019}
5,Identification of microservices from monolithic applications through topic modelling,
6,Architectural runtime models for integrating runtime observations and component-based models,
7,Towards Digital Twin-enabled DevOps for CPS providing Architecture-Based Service Adaptation & Verifi,
8,Graphical and textual model-driven microservice development,
9,A Unified test framework for continuous integration testing of SOA solutions,
10,"TestIt: An Open-Source Scalable Long-Term Autonomy Testing Toolkit for ROS,This paper presents an op",
11,Modeling devOps deployment choices using process architecture design dimensions,
12,Continuous Integration in Multi-view Modeling: A Model Transformation Pipeline Architecture for Prod,
13,Adaptive application development and integration process for modern automotive software,
14,Use of Digital Twins and Digital Threads for Subway Infrastructure Monitoring,
15,Skyfire: Model-Based Testing with Cucumber,
16,SliceOps: Explainable MLOps for Streamlined Automation-Native 6G Networks,
17,The DYNABIC approach to resilience of critical infrastructures,
18,A microservice-based framework for multi-level testing of cyber-physical systems,
19,"Model-driven ml-ops for intelligent enterprise applications: vision, approaches and challenges",
20,A Model-Driven Architectural Design Method for Big Data Analytics Applications,
21,Detecting architectural issues during the continuous integration pipeline,
22,Modeling and Training of Neural Processing Systems,
23,MontiThings: Model-Driven Development and Deployment of Reliable IoT Applications,
24,Deriving Microservice Code from Underspecified Domain Models Using DevOps-Enabled Modeling Languages,
