,Title,
0,Using DevOps toolchains in Agile model-driven engineering,\cite{Sub_2022}
1,Teaching agile model-driven engineering for cyber-physical systems,\cite{Ringert_2017}
2,MDE for Machine Learning-Enabled Software Systems: A Case Study and Comparison of MontiAnna and ML-Q,\cite{Kirchhof_MDE_2022}
3,Towards Continuous Consistency Checking of DevOps Artefacts,\cite{Colantoni_2021}
4,DevOpsML: Towards modeling DevOps processes and platforms,\cite{Colantoni_2020}
5,Towards Blended Modeling and Simulation of DevOps Processes: the Keptn Case Study,
6,DICE: Quality-driven development of data-intensive cloud applications,
7,Industrial requirements for supporting AI-enhanced model-driven engineering,
8,Stepwise adoption of continuous delivery in model-driven engineering,
9,Testing uncertainty of cyber-physical systems in IoT cloud infrastructures: Combining model-driven e,
10,An MDE Method for Improving Deep Learning Dataset Requirements Engineering using Alloy and UML,
11,ResyDuo: Combining Data Models and CF-Based Recommender Systems to Develop Arduino Projects,
12,On the engineering of ai-powered systems,
13,Continuous deployment of trustworthy smart IoT systems,
14,Towards continuous delivery for domain experts: Using MDE to integrate non-programmers into a softwa,
15,Autonomic pervasive applications driven by abstract specifications,
16,The next evolution of MDE: a seamless integration of machine learning into domain modeling,
17,Consistency reflection for automatic update of testing environment,
18,Model-driven orchestration for cloud resources,
19,The Digital Twin as a Common Knowledge Base in DevOps to Support Continuous System Evolution,
20,The adaptation of test-driven software processes to industrial automation engineering,
21,Skyfire: Model-Based Testing with Cucumber,
22,Cloud MF: Applying MDE to tame the complexity of managing multi-cloud applications,
23,Scaling agile mechatronics: An industrial case study,
24,Towards Continuous Modelling to Enable DevOps: A Preliminary Study with Practitioners,
