,Title,
0,"Hardware in the loop simulation for product driven control of a cyber-physical manufacturing system,",\cite{Mihoubi_2020}
1,A microservice-based framework for multi-level testing of cyber-physical systems,\cite{Aldalur_2023}
2,Testing self-healing cyber-physical systems under uncertainty: a fragility-oriented approach,\cite{Ma_2019}
3,Teaching agile model-driven engineering for cyber-physical systems,\cite{Ringert_2017}
4,Towards a Model-Based DevOps for Cyber-Physical Systems,\cite{Combemale_2020}
5,Realization of a model-based DevOps process for industrial safety critical cyber physical systems,
6,Modeling deep reinforcement learning based architectures for cyber-physical systems,
7,Digital Twin-Based Cyber Range for Industrial Internet of Things,
8,Dynamic Runtime Integration of New Models in Digital Twins,
9,Testing self-healing cyber-physical systems under uncertainty with reinforcement learning: an empiri,
10,The Digital Twin as a Common Knowledge Base in DevOps to Support Continuous System Evolution,
11,Use of Digital Twins and Digital Threads for Subway Infrastructure Monitoring,
12,Industrial requirements for supporting AI-enhanced model-driven engineering,
13,Model-Based DevOps: Foundations and Challenges,
14,TwinOps - DevOps meets model-based engineering and digital twins for the engineering of CPS,
15,Testing uncertainty of cyber-physical systems in IoT cloud infrastructures: Combining model-driven e,
16,Smart Infrastructures: Artificial Intelligence-Enabled Lifecycle Automation,
17,The next evolution of MDE: a seamless integration of machine learning into domain modeling,
18,VeriDevOps: Automated Protection and Prevention to Meet Security Requirements in DevOps,
19,Tailoring MLOps Techniques for Industry 5.0 Needs,
20,MDE for Machine Learning-Enabled Software Systems: A Case Study and Comparison of MontiAnna and ML-Q,
21,Towards Digital Twin-enabled DevOps for CPS providing Architecture-Based Service Adaptation & Verifi,
22,Model-based fleet deployment in the IoT–edge–cloud continuum,
23,The systems engineering DevOps lemniscate and model-based system operations,
24,Scaling agile mechatronics: An industrial case study,
