,Title,
0,Models@runtime for continuous design and deployment,\cite{Ferry_2016}
1,Towards Digital Twin-enabled DevOps for CPS providing Architecture-Based Service Adaptation & Verifi,\cite{Dobaj_2022}
2,A Model-Driven Architectural Design Method for Big Data Analytics Applications,\cite{Castellanos_2020}
3,Realization of a model-based DevOps process for industrial safety critical cyber physical systems,\cite{Gautham_2021}
4,Consistency reflection for automatic update of testing environment,\cite{Sathawornwichit_2012}
5,Towards scalable model views on heterogeneous model resources,
6,VeriDevOps: Automated Protection and Prevention to Meet Security Requirements in DevOps,
7,A model-driven engineering framework to support the functional safety process,
8,Modeling deep reinforcement learning based architectures for cyber-physical systems,
9,Automation of the incremental integration of microservices architectures,
10,Towards Specification Completion for Systems with Emergent Behavior based on DevOps,
11,Incremental integration of microservices in cloud applications,
12,Verifying big data topologies by-design: a semi-automated approach,
13,Continuous and Proactive Software Architecture Evaluation: An IoT Case,
14,The Digital Twin as a Common Knowledge Base in DevOps to Support Continuous System Evolution,
15,Towards a Model-Based DevOps for Cyber-Physical Systems,
16,Continuous architecting of stream-based systems,
17,MDE for Machine Learning-Enabled Software Systems: A Case Study and Comparison of MontiAnna and ML-Q,
18,Skyfire: Model-Based Testing with Cucumber,
19,ACCORDANT: A domain specific-model and DevOps approach for big data analytics architectures,
20,Model-driven orchestration for cloud resources,
21,Model-based product line evolution: An incremental growing by extension,
22,Model-Based DevOps: Foundations and Challenges,
23,Modeling and Training of Neural Processing Systems,
24,Highly-optimizing and multi-target compiler for embedded system models :C++ compiler toolchain for t,
