,Title,
0,Towards an assessment grid for intelligent modeling assistance,\cite{Mussbacher_2020}
1,Continuous Integration in Multi-view Modeling: A Model Transformation Pipeline Architecture for Prod,\cite{Rinker_2021}
2,Modeling and Training of Neural Processing Systems,\cite{Kusmenko_Modeling_2019}
3,Modeling devOps deployment choices using process architecture design dimensions,\cite{Babar_2015}
4,TOSCA4QC: Two Modeling Styles for TOSCA to Automate the Deployment and Orchestration of Quantum Appl,\cite{Wild_2020}
5,Evaluation of Graphical Modeling of CI/CD Workflows with Rig,
6,Model maturity-based model service composition in cloud environments,
7,A model-driven workflow for distributed microservice development,
8,Towards Modeling Framework for DevOps: Requirements Derived from Industry Use Case,
9,Infrastructure as runtime models: Towards Model-Driven resource management,
10,Towards scalable model views on heterogeneous model resources,
11,Simulation deployment blockset for MATLAB/Simulink,
12,Towards Blended Modeling and Simulation of DevOps Processes: the Keptn Case Study,
13,Using Metamodels to Improve Model-Based Testing of Service Orchestrations,
14,Graphical and textual model-driven microservice development,
15,Modeling deep reinforcement learning based architectures for cyber-physical systems,
16,Deriving Microservice Code from Underspecified Domain Models Using DevOps-Enabled Modeling Languages,
17,Scenarios in the loop: Integrated requirements analysis and automotive system validation,
18,openCAESAR: Balancing Agility and Rigor in Model-Based Systems Engineering,
19,DevOpsML: Towards modeling DevOps processes and platforms,
20,Agile Generator-Based GUI Modeling for Information Systems,
21,The next evolution of MDE: a seamless integration of machine learning into domain modeling,
22,Process implications of executable domain models for microservices development,
23,Convolutional neural networks for enhanced classification mechanisms of metamodels,
24,Architectural runtime models for integrating runtime observations and component-based models,
