(('quality', 'scenarios', 'software', 'architecture'), 3)
(('continuous', 'integration', 'machine', 'learning'), 3)
(('test', 'case', 'prioritization', 'test'), 2)
(('case', 'prioritization', 'test', 'case'), 2)
(('prioritization', 'test', 'case', 'selection'), 2)
(('big', 'data', 'analytics', 'deployment'), 2)
(('data', 'analytics', 'deployment', 'devops'), 2)
(('analytics', 'deployment', 'devops', 'domainspecific'), 2)
(('deployment', 'devops', 'domainspecific', 'model'), 2)
(('software', 'engineering', 'continuous', 'integration'), 2)
(('cloud', 'cloud', 'architectures', 'incremental'), 2)
(('cloud', 'architectures', 'incremental', 'integration'), 2)
(('architectures', 'incremental', 'integration', 'microservices'), 2)
(('cyberphysical', 'systems', 'modeldriven', 'engineering'), 2)
(('integration', 'machine', 'learning', 'regression'), 2)
(('machine', 'learning', 'regression', 'testing'), 2)
(('machine', 'learning', 'modeldriven', 'engineering'), 2)
(('device', 'fleet', 'devops', 'iot'), 2)
(('fleet', 'devops', 'iot', 'modelbased'), 2)
(('devops', 'iot', 'modelbased', 'software'), 2)
(('iot', 'modelbased', 'software', 'engineering'), 2)
(('modelbased', 'software', 'engineering', 'software'), 2)
(('software', 'engineering', 'software', 'deployment'), 2)
(('engineering', 'natural', 'language', 'processing'), 2)
(('engineering', 'continuous', 'delivery', 'continuous'), 2)
(('continuous', 'delivery', 'continuous', 'evolution'), 2)
(('delivery', 'continuous', 'evolution', 'modeldriven'), 2)
(('continuous', 'evolution', 'modeldriven', 'engineering'), 2)
(('model', 'execution', 'reinforcement', 'learning'), 2)
(('execution', 'reinforcement', 'learning', 'selfhealing'), 2)
(('reinforcement', 'learning', 'selfhealing', 'uncertainty'), 2)
(('deep', 'learning', 'integration', 'testing'), 1)
(('learning', 'integration', 'testing', 'iot'), 1)
(('integration', 'testing', 'iot', 'regression'), 1)
(('testing', 'iot', 'regression', 'testing'), 1)
(('iot', 'regression', 'testing', 'searchbased'), 1)
(('regression', 'testing', 'searchbased', 'techniques'), 1)
(('testing', 'searchbased', 'techniques', 'test'), 1)
(('searchbased', 'techniques', 'test', 'case'), 1)
(('techniques', 'test', 'case', 'prioritization'), 1)
(('test', 'case', 'selection', 'continuous'), 1)
(('case', 'selection', 'continuous', 'integration'), 1)
(('selection', 'continuous', 'integration', 'continuous'), 1)
(('continuous', 'integration', 'continuous', 'integration'), 1)
(('integration', 'continuous', 'integration', 'testing'), 1)
(('continuous', 'integration', 'testing', 'highly'), 1)
(('integration', 'testing', 'highly', 'configurable'), 1)
(('testing', 'highly', 'configurable', 'software'), 1)
(('highly', 'configurable', 'software', 'highly'), 1)
(('configurable', 'software', 'highly', 'interleaved'), 1)
(('software', 'highly', 'interleaved', 'test'), 1)
(('highly', 'interleaved', 'test', 'predictive'), 1)
(('interleaved', 'test', 'predictive', 'algorithm'), 1)
(('test', 'predictive', 'algorithm', 'regression'), 1)
(('predictive', 'algorithm', 'regression', 'testing'), 1)
(('algorithm', 'regression', 'testing', 'regression'), 1)
(('regression', 'testing', 'regression', 'trees'), 1)
(('testing', 'regression', 'trees', 'test'), 1)
(('regression', 'trees', 'test', 'optimization'), 1)
(('trees', 'test', 'optimization', 'test'), 1)
(('test', 'optimization', 'test', 'redundancy'), 1)
(('optimization', 'test', 'redundancy', 'autonomic'), 1)
(('test', 'redundancy', 'autonomic', 'computing'), 1)
(('redundancy', 'autonomic', 'computing', 'featureorientation'), 1)
(('autonomic', 'computing', 'featureorientation', 'machine'), 1)
(('computing', 'featureorientation', 'machine', 'learning'), 1)
(('featureorientation', 'machine', 'learning', 'selfadaptive'), 1)
(('machine', 'learning', 'selfadaptive', 'software'), 1)
(('learning', 'selfadaptive', 'software', 'cyberphysical'), 1)
(('selfadaptive', 'software', 'cyberphysical', 'systems'), 1)
(('software', 'cyberphysical', 'systems', 'elevators'), 1)
(('cyberphysical', 'systems', 'elevators', 'testing'), 1)
(('systems', 'elevators', 'testing', 'continuous'), 1)
(('elevators', 'testing', 'continuous', 'deployment'), 1)
(('testing', 'continuous', 'deployment', 'microservices'), 1)
(('continuous', 'deployment', 'microservices', 'modeldriven'), 1)
(('deployment', 'microservices', 'modeldriven', 'engineering'), 1)
(('microservices', 'modeldriven', 'engineering', 'performance'), 1)
(('modeldriven', 'engineering', 'performance', 'engineering'), 1)
(('engineering', 'performance', 'engineering', 'software'), 1)
(('performance', 'engineering', 'software', 'evolution'), 1)
(('engineering', 'software', 'evolution', 'software'), 1)
(('software', 'evolution', 'software', 'refactoring'), 1)
(('evolution', 'software', 'refactoring', 'cloud'), 1)
(('software', 'refactoring', 'cloud', 'computing'), 1)
(('refactoring', 'cloud', 'computing', 'cloud'), 1)
(('cloud', 'computing', 'cloud', 'resources'), 1)
(('computing', 'cloud', 'resources', 'continuous'), 1)
(('cloud', 'resources', 'continuous', 'delivery'), 1)
(('resources', 'continuous', 'delivery', 'devops'), 1)
(('continuous', 'delivery', 'devops', 'infrastructure'), 1)
(('delivery', 'devops', 'infrastructure', 'code'), 1)
(('devops', 'infrastructure', 'code', 'modeldriven'), 1)
(('infrastructure', 'code', 'modeldriven', 'development'), 1)
(('code', 'modeldriven', 'development', 'cloudbased'), 1)
(('modeldriven', 'development', 'cloudbased', 'applications'), 1)
(('development', 'cloudbased', 'applications', 'continuous'), 1)
(('cloudbased', 'applications', 'continuous', 'deployment'), 1)
(('applications', 'continuous', 'deployment', 'continuous'), 1)
(('continuous', 'deployment', 'continuous', 'integration'), 1)
(('deployment', 'continuous', 'integration', 'modeldriven'), 1)
(('continuous', 'integration', 'modeldriven', 'add'), 1)
(('integration', 'modeldriven', 'add', 'atam'), 1)
(('modeldriven', 'add', 'atam', 'attributedriven'), 1)
(('add', 'atam', 'attributedriven', 'design'), 1)
(('atam', 'attributedriven', 'design', 'big'), 1)
(('attributedriven', 'design', 'big', 'data'), 1)
(('design', 'big', 'data', 'analytics'), 1)
(('devops', 'domainspecific', 'model', 'quality'), 1)
(('domainspecific', 'model', 'quality', 'scenarios'), 1)
(('model', 'quality', 'scenarios', 'software'), 1)
(('scenarios', 'software', 'architecture', 'automotive'), 1)
(('software', 'architecture', 'automotive', 'devops'), 1)
(('architecture', 'automotive', 'devops', 'iso26262'), 1)
(('automotive', 'devops', 'iso26262', 'safety'), 1)
(('devops', 'iso26262', 'safety', 'critical'), 1)
(('iso26262', 'safety', 'critical', 'verification'), 1)
(('safety', 'critical', 'verification', 'distributed'), 1)
(('critical', 'verification', 'distributed', 'microservice'), 1)
(('verification', 'distributed', 'microservice', 'development'), 1)
(('distributed', 'microservice', 'development', 'microservice'), 1)
(('microservice', 'development', 'microservice', 'architecture'), 1)
(('development', 'microservice', 'architecture', 'modeldriven'), 1)
(('microservice', 'architecture', 'modeldriven', 'microservice'), 1)
(('architecture', 'modeldriven', 'microservice', 'development'), 1)
(('modeldriven', 'microservice', 'development', 'modeling'), 1)
(('microservice', 'development', 'modeling', 'languages'), 1)
(('development', 'modeling', 'languages', 'viewpoint'), 1)
(('modeling', 'languages', 'viewpoint', 'modeling'), 1)
(('languages', 'viewpoint', 'modeling', 'artificial'), 1)
(('viewpoint', 'modeling', 'artificial', 'intelligence'), 1)
(('modeling', 'artificial', 'intelligence', 'deep'), 1)
(('artificial', 'intelligence', 'deep', 'learning'), 1)
(('intelligence', 'deep', 'learning', 'models'), 1)
(('deep', 'learning', 'models', 'run'), 1)
(('learning', 'models', 'run', 'time'), 1)
